# Rime user dictionary
#@/db_name	rime_ice_private
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	2445
#@/user_id	Win
ai 	爱	c=3 d=2.83244 t=2043
you 	由	c=1 d=1 t=1941
you bei 	右背	c=1 d=0.00451658 t=2445
you kong 	有空	c=1 d=1 t=1801
you le 	有了	c=1 d=0.0372538 t=2445
you shi 	又是	c=1 d=0.0098528 t=2445
you shou 	右手	c=4 d=1.15422 t=2445
you suo 	有所	c=1 d=0.0397558 t=2445
you xiang 	邮箱	c=1 d=1 t=1987
you yi ge 	有一个	c=1 d=1 t=1794
you zhe 	有着	c=1 d=1 t=2279
yu 	与	c=7 d=3.34893 t=2329
yu 	于	c=2 d=1.85214 t=1690
yu wo 	与我	c=1 d=0.0174224 t=2445
yu yun 	余韵	c=1 d=0.0587185 t=2445
yuan 	源	c=1 d=1 t=1951
yuan 	远	c=1 d=0.00597602 t=2445
yuan di 	原地	c=1 d=0.205975 t=2445
yuan run 	圆润	c=1 d=0.182684 t=2445
yue 	月	c=1 d=1 t=1542
yue duo 	越多	c=1 d=1 t=1626
yue fen 	月份	c=1 d=1 t=1551
yue lai 	越来	c=1 d=1 t=1625
yue lai yue 	越来越	c=1 d=1 t=2310
yun wei 	运维	c=1 d=1 t=1894
yun wei 	韵味	c=1 d=1 t=1893
yun xuan gan 	晕眩感	c=1 d=0.00694315 t=2445
zai 	再	c=2 d=0.0526021 t=2445
zai 	在	c=24 d=3.27303 t=2445
zai ci 	再次	c=3 d=0.529277 t=2445
zai na 	在哪	c=1 d=1 t=1389
zai wo 	在我	c=1 d=1 t=1636
zai yi ci 	再一次	c=1 d=0.0596059 t=2445
zai zhe 	在这	c=1 d=0.00802655 t=2445
zan yang 	赞扬	c=1 d=1 t=1675
zao 	早	c=1 d=1 t=2347
zao dong 	躁动	c=1 d=1 t=2370
zao gao 	糟糕	c=1 d=1 t=2256
ze 	则	c=1 d=0.00582847 t=2445
ze shi 	则是	c=1 d=0.0665368 t=2445
zen me 	怎么	c=4 d=0.156808 t=2445
zhan kai 	展开	c=1 d=1 t=1879
zhan xian chu 	展现出	c=1 d=0.334546 t=2445
zhan xian chu le 	展现出了	c=1 d=0.0420036 t=2445
zhan you 	占有	c=1 d=1 t=2038
zhan you yu 	占有欲	c=1 d=1 t=2282
zhan zai 	站在	c=3 d=0.473495 t=2445
zhan zhe 	站着	c=1 d=0.154896 t=2445
zhang 	仗	c=1 d=1 t=2222
zhang 	张	c=1 d=0.127957 t=2445
zhang ben 	账本	c=8 d=6.99554 t=1569
zhang dan 	账单	c=1 d=1 t=1330
zhang hu 	账户	c=1 d=1 t=1335
zhang zhe 	仗着	c=1 d=1 t=2258
zhao 	找	c=1 d=1 t=1520
zhao bu dao 	找不到	c=1 d=1 t=1726
zhe 	着	c=14 d=1.05961 t=2445
zhe 	这	c=10 d=0.756663 t=2445
zhe ge 	这个	c=3 d=1.07819 t=2425
zhe ju hua 	这句话	c=1 d=1 t=1857
zhe li 	这里	c=1 d=0.084163 t=2445
zhe me 	这么	c=6 d=0.50076 t=2445
zhe me shuo 	这么说	c=1 d=1 t=1737
zhe qun 	这群	c=1 d=1 t=1876
zhe shi 	这时	c=1 d=0.168638 t=2445
zhe shi 	这是	c=1 d=1 t=1264
zhe wo 	着我	c=1 d=0.0173355 t=2445
zhe yang 	这样	c=1 d=0.551563 t=2445
zhe yang de 	这样的	c=1 d=0.031273 t=2445
zhe yi 	这一	c=0 d=0.00249687 t=2445
zhe yi ban 	这一半	c=1 d=0.0203434 t=2445
zhe yi fen 	这一份	c=1 d=1 t=2224
zhe yi ge 	这一个	c=1 d=0.178173 t=2445
zhe yi ju yi dong 	着一举一动	c=1 d=0.0181334 t=2445
zhe yi sheng 	这一声	c=1 d=0.00402593 t=2445
zhe yi shun 	这一瞬	c=1 d=0.021068 t=2445
zhe zhong 	这种	c=2 d=0.223231 t=2445
zhe zhou 	褶皱	c=1 d=0.0824965 t=2445
zhen 	真	c=1 d=0.0127784 t=2445
zhen ding 	镇定	c=1 d=0.436049 t=2445
zhen shi 	真是	c=2 d=0.0564161 t=2445
zhen tou 	枕头	c=1 d=0.251579 t=2445
zhen xin 	真心	c=3 d=3.03545 t=2177
zhen xin huan 	真心换	c=1 d=1 t=2166
zhen zhen zheng zheng 	真真正正	c=1 d=1 t=2057
zheng da 	睁大	c=1 d=0.0332068 t=2445
zheng dui zhe 	正对着	c=0 d=0.0386741 t=2445
zheng dui zhe wo 	正对着我	c=1 d=0.38868 t=2445
zheng ge 	整个	c=2 d=0.189795 t=2445
zheng ge ren 	整个人	c=3 d=0.306503 t=2445
zheng hao 	正好	c=1 d=0.0443785 t=2445
zheng kai 	睁开	c=3 d=0.204492 t=2445
zheng li 	整理	c=1 d=1 t=1578
zheng quan 	证券	c=1 d=1 t=1552
zheng que 	正确	c=1 d=1 t=1739
zhi 	只	c=1 d=1 t=1438
zhi 	直	c=2 d=0.0269169 t=2445
zhi bai 	直白	c=2 d=1.93239 t=1366
zhi chi 	只吃	c=1 d=1 t=1212
zhi chu 	支出	c=4 d=2.18237 t=1500
zhi dao 	知道	c=1 d=1 t=1358
zhi gou gou 	直勾勾	c=1 d=0.794534 t=2445
zhi ji 	之际	c=1 d=0.301194 t=2445
zhi jie 	直接	c=3 d=0.241266 t=2445
zhi jue 	知觉	c=1 d=0.0146986 t=2445
zhi li 	致力	c=1 d=1 t=1689
zhi shang 	之上	c=1 d=0.00625109 t=2445
zhi sheng xia 	只剩下	c=2 d=0.156906 t=2445
zhi shi 	只是	c=1 d=1 t=1175
zhi shi 	知识	c=1 d=1 t=2019
zhi wai 	之外	c=1 d=1 t=1158
zhi xu yao 	只需要	c=1 d=1 t=1558
zhi yao 	只要	c=1 d=1 t=2199
zhi yao shi 	只要是	c=1 d=1 t=1882
zhi you 	只有	c=4 d=0.116601 t=2445
zhi zhong 	之中	c=1 d=1 t=2061
zhong 	中	c=4 d=0.191393 t=2445
zhong 	种	c=1 d=0.0349094 t=2445
zhong duan 	中断	c=1 d=1 t=1816
zhong duan 	终端	c=1 d=1 t=1815
zhong guo 	中国	c=1 d=1 t=1604
zhong jian 	中间	c=1 d=0.121846 t=2445
zhong shi 	中式	c=1 d=0.117068 t=2445
zhong shi 	重视	c=1 d=1 t=1864
zhong wen 	中文	c=1 d=1 t=1592
zhong xue shi qi 	中学时期	c=1 d=1 t=1139
zhong yao 	重要	c=1 d=1 t=2272
zhong yao xing 	重要性	c=1 d=1 t=2207
zhou wen 	皱纹	c=1 d=0.594521 t=2445
zhu jian 	逐渐	c=1 d=1 t=1643
zhu shi 	注释	c=1 d=0.017249 t=2445
zhu shi xia 	注视下	c=1 d=0.0184997 t=2445
zhu shi zhe 	注视着	c=2 d=0.0304262 t=2445
zhu shi zhe wo 	注视着我	c=1 d=0.0122773 t=2445
zhu yao 	主要	c=2 d=1.37925 t=2213
zhu yao ceng 	主要层	c=1 d=1 t=1943
zhu yi 	注意	c=1 d=0.0115047 t=2445
zhu yi li 	注意力	c=1 d=0.0216013 t=2445
zhua pai 	抓拍	c=3 d=2.85607 t=2408
zhuan guo tou 	转过头	c=1 d=0.305746 t=2445
zhuan guo tou lai 	转过头来	c=2 d=0.486949 t=2445
zhuan shen 	转身	c=1 d=0.00562801 t=2445
zhui su 	追溯	c=1 d=1 t=1428
zhun bei 	准备	c=1 d=0.0399551 t=2445
zhuo yi 	桌椅	c=2 d=0.190267 t=2445
zi chan 	资产	c=8 d=4.50921 t=1498
zi ji 	自己	c=12 d=4.01935 t=2445
zi wo 	自我	c=1 d=1 t=1634
zi yan zi yu 	自言自语	c=1 d=0.0132999 t=2445
zi you 	自由	c=1 d=1 t=1694
zong ti shang 	总体上	c=1 d=1 t=1319
zou 	走	c=1 d=1 t=2416
zou dao 	走到	c=3 d=0.769395 t=2445
zou guo lai 	走过来	c=1 d=0.315058 t=2445
zou le 	走了	c=1 d=0.17552 t=2445
zu 	族	c=1 d=1 t=1668
zu cheng 	组成	c=1 d=1 t=1944
zui jiao 	嘴角	c=2 d=1.03112 t=2445
zui zhong 	最终	c=1 d=1 t=1290
zuo 	作	c=1 d=0.00406639 t=2445
zuo 	做	c=2 d=1.05727 t=2065
zuo 	坐	c=3 d=0.265646 t=2445
zuo chu 	做出	c=1 d=0.0325493 t=2445
zuo dao 	做到	c=3 d=1.29499 t=2323
zuo de 	做的	c=1 d=1 t=1241
zuo dian 	坐垫	c=1 d=0.00436124 t=2445
zuo hao 	做好	c=1 d=1 t=1532
zuo jian 	左肩	c=1 d=0.00447164 t=2445
zuo shou 	左手	c=2 d=0.0290411 t=2445
zuo wei 	作为	c=5 d=0.292335 t=2445
zuo you 	左右	c=2 d=0.397964 t=2445
