# Rime user dictionary
#@/db_name	rime_ice_private
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	3141
#@/user_id	MacOS
a 	啊	c=3 d=2.66065 t=2748
qing qing 	轻轻	c=1 d=0.40657 t=3141
qing qu 	情趣	c=1 d=3.62526e-05 t=3141
qing su 	情愫	c=1 d=0.0539337 t=3141
qing ting 	倾听	c=1 d=0.579842 t=3141
qing wei 	轻微	c=1 d=0.463013 t=3141
qing xiao shuo 	轻小说	c=1 d=1.83662e-05 t=3141
qing zhu 	庆祝	c=2 d=1.69827 t=3141
qu 	去	c=4 d=0.807244 t=3141
qu de 	去的	c=1 d=1 t=2614
qu xian 	曲线	c=1 d=0.0428521 t=3141
qu zhe 	曲折	c=1 d=8.00856e-06 t=3141
quan bu 	全部	c=1 d=0.0176857 t=3141
quan xi 	全息	c=0 d=1.92115e-06 t=3141
que 	却	c=1 d=0.0208584 t=3141
que shi 	确实	c=1 d=0.00398587 t=3141
qun ju 	群居	c=1 d=0.265803 t=3141
qun you 	群友	c=1 d=4.40582e-05 t=3141
ran er 	然而	c=2 d=0.0887549 t=3141
ran hou 	然后	c=4 d=0.652781 t=3141
rang 	让	c=1 d=0.384812 t=3141
rang ren 	让人	c=2 d=1.27211 t=3141
rang ta 	让他	c=1 d=1 t=2973
rang wo 	让我	c=4 d=0.0351545 t=3141
rang zi ji 	让自己	c=1 d=0.704688 t=3141
re dai yu lin 	热带雨林	c=1 d=0.0702988 t=3141
ren 	人	c=5 d=0.521917 t=3141
ren he 	任何	c=8 d=2.62396 t=3141
ren lei 	人类	c=1 d=0.263158 t=3141
ren min 	人民	c=2 d=0.0349706 t=3141
ren sheng 	人生	c=1 d=9.58798e-06 t=3141
ren tong gan 	认同感	c=1 d=0.0221482 t=3141
ren wo 	任我	c=1 d=0.0507928 t=3141
ren wu 	人物	c=1 d=0.937067 t=3141
ren ye ren 	忍野忍	c=1 d=2.79526e-05 t=3141
ren you 	任由	c=1 d=0.00960953 t=3141
reng 	扔	c=2 d=0.425691 t=3141
ri 	日	c=1 d=0.615697 t=3141
ri ben 	日本	c=1 d=1 t=2902
ri chang 	日常	c=1 d=0.180866 t=3141
rong qi 	容器	c=2 d=0.0271402 t=3141
rong yi 	容易	c=1 d=8.76276e-06 t=3141
rou 	肉	c=1 d=1 t=2887
ru guo 	如果	c=6 d=0.658337 t=3141
ru he 	如何	c=11 d=2.82023 t=3141
ru jin 	如今	c=7 d=0.514766 t=3141
ru tong 	如同	c=2 d=0.548905 t=3141
ruan jian 	软件	c=1 d=0.852144 t=3141
ruan jiao 	软胶	c=1 d=3.81113e-05 t=3141
sai 	赛	c=0 d=2.20985e-06 t=3141
sai ta lin 	赛塔林	c=1 d=2.22093e-05 t=3141
sai wen 	赛文	c=1 d=3.79212e-05 t=3141
san luan 	散乱	c=1 d=0.0142642 t=3141
san luo zai 	散落在	c=1 d=0.0160829 t=3141
sao zi 	嫂子	c=1 d=1 t=2674
sha 	刹	c=1 d=0.00557201 t=3141
sha fa 	沙发	c=2 d=0.508373 t=3141
sha fa shang 	沙发上	c=1 d=0.132655 t=3141
sha xian xiao chi 	沙县小吃	c=1 d=1 t=2470
sha za bi 	沙扎比	c=1 d=1.78234e-05 t=3141
shan 	山	c=1 d=1 t=2895
shan chu 	删除	c=1 d=0.970446 t=3141
shan liang 	善良	c=3 d=0.613727 t=3141
shan yao 	闪耀	c=1 d=3.51812e-05 t=3141
shang 	上	c=13 d=2.8968 t=3141
shang ban 	上班	c=2 d=1.84366 t=2977
shang hai 	上海	c=1 d=1 t=2522
shang hai 	伤害	c=3 d=0.356375 t=3141
shang le 	上了	c=1 d=0.062662 t=3141
shang mian 	上面	c=2 d=0.148068 t=3141
shang yi ci 	上一次	c=1 d=0.166127 t=3141
shao shu 	少数	c=4 d=2.10145 t=3141
she bei 	设备	c=2 d=0.164055 t=3141
she hui 	社会	c=1 d=0.187308 t=3141
she hui shang 	社会上	c=1 d=0.0167392 t=3141
she hui xing 	社会性	c=1 d=0.26982 t=3141
she ji 	涉及	c=1 d=0.00382958 t=3141
she zhi 	设置	c=1 d=4.2756e-05 t=3141
shen 	深	c=1 d=0.0987662 t=3141
shen 	神	c=1 d=0.0102037 t=3141
shen bian 	身边	c=2 d=0.382893 t=3141
shen hong 	深红	c=0 d=0.00972957 t=3141
shen hong de 	深红的	c=1 d=0.0977834 t=3141
shen hou 	身后	c=1 d=0.00425356 t=3141
shen luo 	神罗	c=1 d=0.733447 t=3141
shen me 	什么	c=14 d=0.545126 t=3141
shen me shi 	什么是	c=2 d=0.972117 t=3141
shen me shi le 	什么事了	c=1 d=0.0116203 t=3141
shen pang 	身旁	c=1 d=0.965605 t=3141
shen shang 	身上	c=3 d=0.45482 t=3141
shen shou 	深受	c=1 d=0.0148464 t=3141
shen ti 	身体	c=8 d=0.155078 t=3141
shen zhen 	深圳	c=2 d=1.94176 t=2842
shen zhi 	甚至	c=1 d=0.00204983 t=3141
shen zhi shou 	神之手	c=1 d=1.77345e-05 t=3141
shen zi 	身子	c=1 d=0.0270518 t=3141
sheng 	声	c=0 d=0.000400585 t=3141
sheng huo 	生活	c=3 d=2.45793e-05 t=3141
sheng ji 	升级	c=1 d=1 t=3009
sheng jing 	圣经	c=1 d=1 t=2865
sheng ri 	生日	c=1 d=0.644036 t=3141
sheng ri li wu 	生日礼物	c=2 d=5.55888e-05 t=3141
sheng xia 	剩下	c=1 d=0.154124 t=3141
sheng yin 	声音	c=1 d=0.00822975 t=3141
shi 	事	c=1 d=0.025223 t=3141
shi 	师	c=0 d=2.80927e-06 t=3141
shi 	是	c=38 d=2.71756 t=3141
shi ba 	是吧	c=1 d=1 t=2875
shi biao zhun 	是标准	c=1 d=0.115903 t=3141
shi dang 	适当	c=1 d=0.0103063 t=3141
shi dian 	十点	c=1 d=0.802519 t=3141
shi duo shao 	是多少	c=2 d=0.145208 t=3141
shi er da zhan 	十二大战	c=1 d=3.44845e-05 t=3141
shi fen 	十分	c=2 d=0.267207 t=3141
shi fou 	是否	c=1 d=6.36307e-06 t=3141
shi hou 	时候	c=1 d=0.814647 t=3141
shi jian 	时间	c=7 d=1.30107 t=3141
shi jiao 	视角	c=1 d=0.0439369 t=3141
shi jie 	世界	c=2 d=0.0409994 t=3141
shi ni 	是你	c=1 d=5.64353e-06 t=3141
shi nian hou 	十年后	c=1 d=1.85508e-05 t=3141
shi qi 	时期	c=2 d=0.0610048 t=3141
shi qing 	事情	c=3 d=0.910708 t=3141
shi qu 	失去	c=3 d=0.634467 t=3141
shi ren 	使人	c=1 d=0.625002 t=3141
shi sha 	是啥	c=1 d=0.00514361 t=3141
shi shen me 	是什么	c=1 d=1 t=3078
shi shi hou 	是时候	c=1 d=1 t=2484
shi tu 	试图	c=3 d=0.343039 t=3141
shi wang 	失望	c=1 d=0.527292 t=3141
shi wo 	是我	c=1 d=0.0513033 t=3141
shi wo de 	是我的	c=1 d=0.0135009 t=3141
shi xian 	实现	c=1 d=1 t=3111
shi xian 	视线	c=1 d=0.339596 t=3141
shi yong 	使用	c=9 d=2.3752 t=3141
shi zai shi 	实在是	c=1 d=0.0222592 t=3141
shi zhen 	失真	c=1 d=0.818731 t=3141
shi zhi he mu zhi 	食指和拇指	c=1 d=0.412714 t=3141
shi zhong 	始终	c=4 d=0.2726 t=3141
shi zhong 	时钟	c=1 d=1.39504e-05 t=3141
shi zi 	式子	c=1 d=1 t=2799
shou 	手	c=3 d=0.436187 t=3141
shou ban 	手办	c=1 d=2.80927e-05 t=3141
shou bing 	手柄	c=1 d=4.0468e-05 t=3141
shou dai 	手带	c=4 d=7.71472e-05 t=3141
shou dao 	受到	c=2 d=0.00748391 t=3141
shou dao 	收到	c=1 d=0.509156 t=3141
shou dong 	手动	c=1 d=0.878095 t=3141
shou ji 	手机	c=8 d=4.6923 t=3141
shou ru 	收入	c=7 d=0.0265568 t=3141
shou ti bao 	手提包	c=2 d=0.405088 t=3141
shou wan 	手腕	c=1 d=0.0109436 t=3141
shou xian 	首先	c=1 d=0.537944 t=3141
shou you 	手游	c=1 d=1 t=2487
shou zhang 	手掌	c=2 d=0.89106 t=3141
shou zi 	瘦子	c=6 d=1.91658 t=3141
shu 	树	c=1 d=0.774916 t=3141
shu 	梳	c=1 d=0.0177743 t=3141
shu ju 	数据	c=4 d=0.185149 t=3141
shu ju bao 	数据包	c=3 d=0.281845 t=3141
shu mi 	数米	c=1 d=0.00594622 t=3141
shu xue 	数学	c=1 d=1 t=2792
shu zhi 	树枝	c=1 d=0.071719 t=3141
shuai dao 	摔倒	c=2 d=0.0140035 t=3141
shuang shou 	双手	c=8 d=1.62973 t=3141
shuang shuang 	双双	c=1 d=0.00565622 t=3141
shuang xiang 	双向	c=1 d=0.144424 t=3141
shuang yan 	双眼	c=4 d=1.13186 t=3141
shui 	睡	c=1 d=0.290835 t=3141
shui 	谁	c=2 d=0.408898 t=3141
shui jian le 	谁见了	c=1 d=0.559898 t=3141
shui jiao 	睡觉	c=4 d=1.84606 t=3141
shui jiao ba 	睡觉吧	c=1 d=0.900325 t=3141
shui zhao 	睡着	c=1 d=0.0599047 t=3141
shui zhao le 	睡着了	c=1 d=0.263158 t=3141
shun 	瞬	c=0 d=0.00209629 t=3141
shun jian 	瞬间	c=1 d=0.00491728 t=3141
shun zhe 	顺着	c=1 d=0.425283 t=3141
shuo 	说	c=6 d=1.5923 t=3141
shuo ming 	说明	c=0 d=0.1 t=2663
shuo ming bai ling 	说明白领	c=1 d=1 t=2664
shuo qi 	说起	c=1 d=0.00136037 t=3141
si 	四	c=1 d=0.594521 t=3141
si hu 	似乎	c=3 d=0.219874 t=3141
si kao 	思考	c=4 d=0.302408 t=3141
si qu 	死去	c=0 d=2.23206e-06 t=3141
song 	松	c=1 d=1.80025e-05 t=3141
song kua kua 	松垮垮	c=1 d=0.0413782 t=3141
song le 	送了	c=2 d=2.55024e-05 t=3141
song qian 	送钱	c=1 d=1 t=3007
su da 	速打	c=1 d=1 t=2477
su du 	速度	c=1 d=1 t=2771
su ge la 	苏格拉	c=1 d=1.62081e-05 t=3141
su ma 	酥麻	c=1 d=0.0149956 t=3141
sui 	岁	c=2 d=1.23238 t=3141
sui bian 	随便	c=1 d=1 t=2935
sui hou 	随后	c=1 d=0.0133665 t=3141
sui ran 	虽然	c=2 d=0.0125548 t=3141
sui zhe 	随着	c=3 d=0.52935 t=3141
sui zhi 	随之	c=1 d=0.0368832 t=3141
suo 	所	c=2 d=0.00419023 t=3141
suo ge 	索哥	c=1 d=1 t=2458
suo tou 	锁头	c=1 d=4.02661e-05 t=3141
suo xing 	所幸	c=1 d=0.0071546 t=3141
suo yi 	所以	c=3 d=0.204174 t=3141
suo you 	所有	c=7 d=0.860124 t=3141
ta 	他	c=8 d=2.22234 t=3141
ta 	她	c=9 d=0.65073 t=3141
ta 	它	c=2 d=0.214381 t=3141
ta bu 	他不	c=0 d=0.1 t=2918
ta bu qu 	他不去	c=1 d=1 t=2919
ta de 	他的	c=1 d=0.628135 t=3141
ta guo 	他国	c=1 d=0.0158434 t=3141
ta lin 	塔林	c=0 d=2.20985e-06 t=3141
ta men 	他们	c=5 d=1.5819 t=3141
ta ren 	他人	c=2 d=1.13457 t=3141
ta shuo 	他说	c=1 d=1 t=2918
ta yao 	他要	c=1 d=1 t=2708
ta ye 	他也	c=1 d=0.00719046 t=3141
ta you 	他又	c=1 d=1 t=2925
ta zheng ge ren 	他整个人	c=1 d=0.744532 t=3141
ta zu 	他族	c=2 d=0.0412142 t=3141
tai 	太	c=2 d=1.8781 t=2619
tai da 	太大	c=1 d=0.66365 t=3141
tai ding 	太顶	c=1 d=1 t=2643
tai du 	态度	c=1 d=0.339596 t=3141
tai feng 	台风	c=1 d=1 t=2492
tai jiu 	太久	c=1 d=0.292293 t=3141
tai le 	抬了	c=1 d=0.400517 t=3141
tang huang 	堂皇	c=0 d=0.00605068 t=3141
tang lao ya 	唐老鸭	c=1 d=0.927743 t=3141
tang zai 	躺在	c=2 d=0.825879 t=3141
tao bu kai 	逃不开	c=1 d=0.0611149 t=3141
tao fen 	桃粉	c=1 d=3.32984e-05 t=3141
tao jian 	套件	c=1 d=2.27715e-05 t=3141
tao lun 	讨论	c=2 d=1.97531 t=2952
tao yan 	讨厌	c=2 d=0.411207 t=3141
te bie 	特别	c=2 d=0.0461854 t=3141
te dian 	特典	c=1 d=2.03995e-05 t=3141
te jia 	特价	c=2 d=1.98511 t=2507
te li du xing 	特立独行	c=1 d=0.024234 t=3141
te li du xing de ren 	特立独行的人	c=3 d=0.07572 t=3141
te zhong bing 	特种兵	c=1 d=1 t=2601
ti 	提	c=1 d=1 t=2876
ti ji 	体积	c=1 d=0.0106202 t=3141
ti le 	提了	c=1 d=1 t=2877
ti xian 	体现	c=1 d=0.315058 t=3141
ti zhi 	体脂	c=1 d=1 t=3003
tian 	填	c=1 d=1 t=2709
tian 	天	c=1 d=1 t=3080
tian gou 	舔狗	c=1 d=0.201897 t=3141
tian hua ban 	天花板	c=1 d=0.075774 t=3141
tian jia 	添加	c=1 d=1.32039e-05 t=3141
tian kong 	天空	c=1 d=0.0107269 t=3141
tian ling gai 	天灵盖	c=1 d=0.055299 t=3141
tian shu 	天数	c=1 d=1 t=2573
tian xie 	天蝎	c=1 d=2.16609e-05 t=3141
tiao dan 	跳蛋	c=1 d=1.92115e-05 t=3141
tiao dao 	跳到	c=1 d=2.95331e-05 t=3141
tiao dou 	挑逗	c=1 d=0.0223708 t=3141
tiao jiu 	调酒	c=1 d=2.26579e-05 t=3141
tie zai 	贴在	c=1 d=0.0804596 t=3141
tie zhi 	贴纸	c=1 d=3.38017e-05 t=3141
ting dao le 	听到了	c=1 d=0.00400585 t=3141
ting qi 	挺起	c=1 d=0.00919416 t=3141
ting qi le 	挺起了	c=1 d=0.0409665 t=3141
ting xia 	停下	c=1 d=0.71177 t=3141
tong 	桶	c=2 d=0.00563308 t=3141
tong 	铜	c=1 d=2.4059e-05 t=3141
tong chu 	痛楚	c=1 d=0.00882647 t=3141
tong guo 	通过	c=6 d=1.36152 t=3141
tong hua 	童话	c=1 d=7.81082e-06 t=3141
tong ji 	统计	c=1 d=0.00653881 t=3141
tong ku 	痛苦	c=1 d=0.532592 t=3141
tong shi 	同时	c=1 d=0.304221 t=3141
tong xin 	通信	c=1 d=0.079659 t=3141
tong xun 	通讯	c=1 d=0.847894 t=3141
tong yi liang che 	同一辆车	c=2 d=1.63379 t=3141
tou 	头	c=1 d=0.244143 t=3141
tou di 	投递	c=1 d=6.23707e-06 t=3141
tou ding 	头顶	c=1 d=0.336216 t=3141
tou fa 	头发	c=1 d=0.0160027 t=3141
tou lu 	透露	c=1 d=0.101774 t=3141
tou yu 	投予	c=1 d=0.591555 t=3141
tu an 	图案	c=1 d=0.0746459 t=3141
tu la si 	图拉斯	c=1 d=1.45925e-05 t=3141
tu pian 	图片	c=5 d=1.47304 t=3121
tu po 	突破	c=1 d=0.0550232 t=3141
tu qi 	凸起	c=1 d=0.0450492 t=3141
tu ran 	突然	c=4 d=1.07435 t=3141
tu ru qi lai 	突如其来	c=1 d=0.00481991 t=3141
tu tu 	图图	c=1 d=0.657047 t=3141
tu ya 	涂鸦	c=2 d=1.31031 t=3141
tu zi dong 	兔子洞	c=1 d=0.831104 t=3141
tuo xia 	脱下	c=1 d=0.218712 t=3141
wai mao 	外貌	c=1 d=0.752014 t=3141
wai yu wai mao 	外语外贸	c=1 d=0.554327 t=3141
wan 	晚	c=1 d=1 t=2811
wan 	玩	c=2 d=1.90032 t=2962
wan bao 	晚报	c=0 d=1.52642e-06 t=3141
wan can 	晚餐	c=1 d=0.00208081 t=3141
wan hua jing 	万华镜	c=1 d=0.839457 t=3141
wan hui 	玩会	c=1 d=0.748264 t=3141
wan mei 	完美	c=2 d=0.460768 t=3141
wan quan 	完全	c=4 d=1.31405 t=3141
wan shang 	晚上	c=1 d=0.715338 t=3141
wan wan 	玩完	c=1 d=1 t=2657
wang 	王	c=1 d=0.178173 t=3141
wang lai 	往来	c=1 d=1.19474e-05 t=3141
wang luo 	网络	c=8 d=0.669948 t=3141
wang luo shang 	网络上	c=1 d=0.190139 t=3141
wang ye 	网页	c=1 d=0.00798652 t=3141
wei 	为	c=2 d=0.213312 t=3141
wei 	伪	c=1 d=4.06708e-05 t=3141
wei 	位	c=2 d=0.227791 t=3141
wei 	卫	c=1 d=2.46681e-05 t=3141
wei 	未	c=1 d=2.44226e-05 t=3141
wei gui 	违规	c=1 d=0.839457 t=3141
wei hu 	维护	c=1 d=0.308819 t=3141
wei le 	为了	c=2 d=0.163985 t=3141
wei rao 	围绕	c=1 d=0.0572688 t=3141
wei shen me 	为什么	c=2 d=0.680451 t=3141
wei wei 	微微	c=3 d=0.37264 t=3141
wei xin 	微信	c=5 d=1.24837 t=3012
wei yi 	卫衣	c=1 d=1.65355e-05 t=3141
wei yi 	唯一	c=2 d=0.0939606 t=3141
wei zhi 	位置	c=2 d=0.941951 t=3141
wen 	文	c=1 d=3.75439e-05 t=3141
wen 	问	c=3 d=0.50159 t=3141
wen dang 	文档	c=1 d=0.0127784 t=3141
wen hua 	文化	c=2 d=0.0414424 t=3141
wen jian 	文件	c=8 d=1.63125 t=3141
wen le 	问了	c=1 d=0.438235 t=3141
wen lu 	纹路	c=1 d=0.0692522 t=3141
wen nuan 	温暖	c=1 d=7.61797e-06 t=3141
wen ti 	问题	c=4 d=0.953355 t=3141
wen xin 	温馨	c=1 d=8.46137e-06 t=3141
wen zhang 	文章	c=1 d=0.99005 t=3141
wo 	卧	c=1 d=0.245367 t=3141
wo 	我	c=51 d=5.69782 t=3141
wo cong lai 	我从来	c=1 d=0.0306538 t=3141
wo de 	我的	c=25 d=3.97705 t=3141
wo de shou 	我的手	c=1 d=0.0144798 t=3141
wo de yan jing 	我的眼睛	c=1 d=0.349938 t=3141
wo dou 	我都	c=1 d=0.0212797 t=3141
wo dui 	我对	c=2 d=0.159786 t=3141
wo dui xing 	我对性	c=1 d=0.0248475 t=3141
wo gao zhong 	我高中	c=1 d=0.0405589 t=3141
wo gen ben 	我根本	c=1 d=0.0298969 t=3141
wo guan xin 	我关心	c=1 d=0.88692 t=3141
wo guang dong 	我广东	c=1 d=0.494109 t=3141
wo hai neng 	我还能	c=1 d=0.045502 t=3141
wo hai xu yao 	我还需要	c=1 d=1.3138e-05 t=3141
wo hen 	我很	c=2 d=0.242722 t=3141
wo jian 	我见	c=1 d=0.024234 t=3141
wo jiao 	我叫	c=1 d=1 t=2968
wo jiu 	我就	c=1 d=0.918512 t=3141
wo jue de 	我觉得	c=2 d=0.214381 t=3141
wo ke yi 	我刻意	c=1 d=0.0359725 t=3141
wo liang 	我两	c=2 d=0.0134154 t=3141
wo mai 	我买	c=1 d=1 t=2721
wo men 	我们	c=11 d=1.57282 t=3141
wo men de qian 	我们的钱	c=1 d=0.00276698 t=3141
wo neng 	我能	c=1 d=0.130029 t=3141
wo shuo 	我说	c=1 d=0.499074 t=3141
wo song 	我送	c=1 d=1.33366e-05 t=3141
wo xian zai 	我现在	c=1 d=0.15259 t=3141
wo xiang 	我想	c=5 d=1.54784 t=3141
wo xun wen 	我询问	c=1 d=0.0116786 t=3141
wo ye 	我也	c=2 d=0.13247 t=3141
wo yi ge ren 	我一个人	c=1 d=0.128093 t=3141
wo yi jing 	我已经	c=3 d=0.927615 t=3141
wo yi zhi 	我一直	c=1 d=0.120633 t=3141
wo yong 	我用	c=1 d=3.13593e-05 t=3141
wo you 	我有	c=1 d=0.0464212 t=3141
wo yu 	我与	c=2 d=0.247833 t=3141
wo zai 	我再	c=1 d=0.272532 t=3141
wo zai 	我在	c=1 d=0.0271874 t=3141
wo zhe 	握着	c=1 d=0.00382958 t=3141
wo zhi 	我只	c=1 d=5.34152e-06 t=3141
wo zhi bu guo 	我只不过	c=1 d=0.156453 t=3141
wo zhu 	握住	c=1 d=0.394554 t=3141
wo zhuan 	我转	c=1 d=1 t=2716
wo zi ji 	我自己	c=2 d=0.184016 t=3141
wo zuo le 	我做了	c=1 d=5.3952e-06 t=3141
wu 	五	c=1 d=0.606531 t=3141
wu 	无	c=1 d=1 t=2781
wu 	物	c=1 d=2.02978e-05 t=3141
wu 	雾	c=0 d=1.60468e-06 t=3141
wu bi 	无比	c=1 d=0.0219278 t=3141
wu cha 	无差	c=1 d=0.67368 t=3141
wu che 	无车	c=1 d=0.740818 t=3141
wu che pai 	无车牌	c=3 d=2.56858 t=3141
wu fa 	无法	c=4 d=1.51998 t=3141
wu fa deng lu 	无法登录	c=1 d=1 t=2560
wu fei 	无非	c=1 d=0.245367 t=3141
wu liao 	无料	c=1 d=2.15529e-05 t=3141
wu lun 	无论	c=5 d=0.734061 t=3141
wu nao 	无脑	c=1 d=0.0192547 t=3141
wu qu 	无趣	c=1 d=8.98459e-06 t=3141
xi ge 	洗个	c=1 d=1 t=2535
xi gua 	西瓜	c=0 d=0.1 t=2970
xi gua ka 	西瓜卡	c=1 d=1 t=2971
xi huan 	喜欢	c=1 d=0.657047 t=3141
xi lai 	袭来	c=1 d=0.256661 t=3141
xi nan 	西南	c=1 d=1 t=2566
xi song ping chang 	稀松平常	c=1 d=0.786628 t=3141
xi te le 	希特勒	c=1 d=0.774916 t=3141
xi tong 	系统	c=1 d=0.995012 t=3141
xi wang 	希望	c=1 d=5.3683e-06 t=3141
xi zao 	洗澡	c=2 d=1.52333 t=3141
xia 	下	c=3 d=1.1216 t=3141
xia ban 	下班	c=2 d=1.1545 t=3141
xia lai 	下来	c=1 d=1 t=2482
xia qu 	下去	c=1 d=0.390628 t=3141
xia zhou 	下周	c=1 d=1 t=2953
xian 	先	c=8 d=0.887848 t=3141
xian bie 	先别	c=1 d=1 t=2845
xian de 	显得	c=1 d=0.0184074 t=3141
xian liu 	先溜	c=1 d=1 t=2923
xian shi 	显示	c=2 d=0.164476 t=3141
xian shi 	现实	c=2 d=3.98095e-05 t=3141
xian xiang 	先想	c=1 d=1 t=2959
xian zai 	现在	c=3 d=0.0569973 t=3141
xiang 	想	c=2 d=0.161398 t=3141
xiang cha 	相差	c=1 d=0.0368832 t=3141
xiang dang 	相当	c=2 d=0.118766 t=3141
xiang dao 	想到	c=1 d=0.644036 t=3141
xiang fa 	想法	c=2 d=0.711453 t=3141
xiang gang 	香港	c=3 d=1.47271 t=3001
xiang ge 	相隔	c=1 d=0.142987 t=3141
xiang guan 	相关	c=1 d=0.0129715 t=3141
xiang hu 	相互	c=1 d=0.0126512 t=3141
xiang jia 	相加	c=1 d=0.00402593 t=3141
xiang lei si 	相类似	c=1 d=0.0278757 t=3141
xiang mai 	想买	c=1 d=0.0018734 t=3141
xiang mu jing li 	项目经理	c=1 d=0.0645703 t=3141
xiang pian 	相片	c=2 d=1.99005 t=2725
xiang qi 	想起	c=1 d=0.231078 t=3141
xiang shi 	像是	c=1 d=0.0792617 t=3141
xiang shui 	香水	c=1 d=1.72103e-05 t=3141
xiang xiang 	想想	c=1 d=0.00216573 t=3141
xiao 	小	c=1 d=0.362402 t=3141
xiao chou 	小丑	c=1 d=0.202909 t=3141
xiao fei 	消费	c=4 d=0.0234124 t=3141
xiao fei le 	消费了	c=3 d=0.00946279 t=3141
xiao shen xian 	小神仙	c=1 d=1.40204e-05 t=3141
xiao shi le 	消失了	c=1 d=0.00831246 t=3141
xiao xue 	小学	c=1 d=0.0468877 t=3141
xie 	些	c=1 d=1 t=2791
xie 	写	c=4 d=2.88311 t=3093
xie 	斜	c=1 d=0.0137736 t=3141
xie chu 	写出	c=1 d=0.157237 t=3141
xie chu le 	写出了	c=1 d=0.12938 t=3141
xie dao 	写到	c=1 d=0.172045 t=3141
xie de 	写的	c=1 d=1 t=3048
xie yi 	协议	c=7 d=0.503139 t=3141
xin 	新	c=1 d=0.582748 t=3141
xin ji ru fen 	心急如焚	c=1 d=0.644036 t=3141
xin xi 	信息	c=2 d=0.865528 t=3141
xin xian 	心弦	c=1 d=0.726149 t=3141
xin yong ka 	信用卡	c=1 d=0.00348252 t=3141
xing 	性	c=0 d=0.00247235 t=3141
xing bie 	性别	c=1 d=0.19205 t=3141
xing cheng 	形成	c=1 d=0.00362464 t=3141
xing ge 	性格	c=1 d=0.606531 t=3141
xing le 	醒了	c=1 d=0.375311 t=3141
xing li 	行李	c=1 d=1 t=2600
xing ming 	姓名	c=1 d=1.1308e-05 t=3141
xing qi 	兴起	c=1 d=1 t=2931
xing qi 	星期	c=1 d=1 t=2932
xing qi tian 	星期天	c=1 d=1 t=2995
xing shi 	行使	c=1 d=0.937067 t=3141
xing shi zhe 	行驶着	c=1 d=0.00392653 t=3141
xing yun 	幸运	c=1 d=0.00657159 t=3141
xing zhuang 	形状	c=1 d=0.045502 t=3141
xiong 	胸	c=1 d=0.0464212 t=3141
xiong bu 	胸部	c=1 d=0.0424257 t=3141
xiong di 	兄弟	c=1 d=0.442639 t=3141
xiu gai 	修改	c=2 d=0.985545 t=3141
xu duo 	许多	c=1 d=0.687289 t=3141
xu ni 	虚拟	c=1 d=0.00694315 t=3141
xu ni nei cun 	虚拟内存	c=1 d=1 t=2765
xu qiu 	需求	c=2 d=1.99501 t=3095
xu song 	许嵩	c=2 d=3.10753e-05 t=3141
xu wei 	虚伪	c=2 d=0.242935 t=3141
xu yao 	需要	c=2 d=0.883794 t=3141
xu yu yang 	徐宇阳	c=2 d=3.4785e-05 t=3141
xuan 	选	c=1 d=1 t=2625
xuan ge 	选个	c=1 d=1 t=2582
xuan li 	绚丽	c=1 d=0.0685632 t=3141
xuan ze 	选择	c=2 d=0.980463 t=3141
xue bai 	雪白	c=1 d=0.00615802 t=3141
xue xiao 	学校	c=2 d=0.0990788 t=3141
xun 	寻	c=0 d=1.60468e-06 t=3141
xun bao you xi 	寻宝游戏	c=1 d=1.54176e-05 t=3141
xun wen 	询问	c=0 d=0.00116203 t=3141
xun wu qi shi 	寻雾启示	c=1 d=1.61273e-05 t=3141
ya 	压	c=1 d=0.00970611 t=3141
ya fei shen 	牙吠神	c=1 d=1.57291e-05 t=3141
ya ji tuo 	亚极陀	c=1 d=3.96666e-05 t=3141
ya zai 	压在	c=1 d=0.00647375 t=3141
yan 	眼	c=1 d=0.0338776 t=3141
yan chang 	延长	c=1 d=0.00927901 t=3141
yan hun 	眼魂	c=1 d=3.07383e-05 t=3141
yan jing 	眼睛	c=6 d=0.994538 t=3141
yan kan 	眼看	c=1 d=0.00543443 t=3141
yan shen 	眼神	c=3 d=0.0588432 t=3141
yang 	样	c=1 d=0.128093 t=3141
yang mian 	仰面	c=1 d=0.00606634 t=3141
yang pi zhi 	羊皮纸	c=1 d=0.0800583 t=3141
yang zi 	样子	c=1 d=0.591555 t=3141
yao 	腰	c=2 d=0.0523924 t=3141
yao 	要	c=8 d=0.882015 t=3141
yao bai 	摇摆	c=1 d=0.00540733 t=3141
yao bu 	要不	c=1 d=1 t=2580
yao dai 	腰带	c=1 d=2.78132e-05 t=3141
yao dao 	要到	c=1 d=1 t=2821
yao hao 	要好	c=2 d=0.295963 t=3141
yao me 	要么	c=1 d=1 t=2650
yao qiu 	要求	c=2 d=0.654521 t=3141
yao shi 	要是	c=1 d=0.0448245 t=3141
ye 	也	c=17 d=0.870545 t=3141
ye 	夜	c=3 d=1.56611 t=3141
ye bu 	也不	c=1 d=0.97531 t=3141
ye hen 	也很	c=0 d=0.0194952 t=3141
ye hen bu xi huan 	也很不喜欢	c=1 d=0.19593 t=3141
ye hui 	也会	c=1 d=0.501576 t=3141
ye jiu 	也就	c=1 d=0.00168667 t=3141
ye jiu zai 	也就在	c=1 d=0.167797 t=3141
ye neng 	也能	c=1 d=0.0401553 t=3141
ye shi 	也是	c=2 d=0.204948 t=3141
ye yi jing 	也已经	c=0 d=0.000141589 t=3141
